shipment_id,order_id,courier,ship_date,delivered_date,status,shipping_days
53,47,Cyclone,2025-01-19,2025-01-23,Delivered,4.0
54,47,Cyclone,2025-01-18,2025-01-20,Delivered,2.0
55,48,Cyclone,2025-01-06,2025-01-07,Delivered,1.0
56,49,Cyclone,2025-04-01,2025-04-02,Delivered,1.0
57,50,Arrow,2025-03-02,2025-03-05,Delivered,3.0
58,51,Arrow,2025-01-15,2025-01-16,Delivered,1.0
59,52,Arrow,2025-01-10,2025-01-13,Delivered,3.0
60,53,Arrow,2025-03-31,2025-04-04,Delivered,4.0
61,54,Arrow,2025-02-24,2025-02-27,Delivered,3.0
62,55,Bolt,2025-01-03,2025-01-08,Delivered,5.0
63,56,Bolt,2025-03-25,2025-03-28,Delivered,3.0
64,57,Bolt,2025-03-02,2025-03-03,Delivered,1.0
65,58,Cyclone,2025-03-13,2025-03-17,Delivered,4.0
66,59,Arrow,2025-02-13,2025-02-17,Delivered,4.0
67,60,Arrow,2025-01-09,2025-01-11,Delivered,2.0
68,61,Cyclone,2025-02-17,2025-02-21,Delivered,4.0
69,62,Cyclone,2025-02-05,2025-02-07,Delivered,2.0
70,63,Bolt,2025-03-19,2025-03-20,Delivered,1.0
71,64,Bolt,2025-03-24,2025-03-28,Delivered,4.0
72,65,Cyclone,2025-02-06,2025-02-07,Delivered,1.0
73,65,Cyclone,2025-02-05,2025-02-07,Delivered,2.0
74,66,Cyclone,2025-02-19,2025-02-21,Delivered,2.0
75,67,Cyclone,2025-01-06,,Returned,
76,68,Cyclone,2025-01-04,2025-01-06,Delivered,2.0
77,69,Cyclone,2025-01-08,2025-01-10,Delivered,2.0
78,70,Arrow,2025-02-24,2025-02-27,Delivered,3.0
79,71,Arrow,2025-01-04,2025-01-05,Delivered,1.0
80,72,Cyclone,2025-02-24,2025-02-27,Delivered,3.0
81,73,Cyclone,2025-03-04,2025-03-09,Delivered,5.0
82,74,Arrow,2025-01-20,2025-01-23,Delivered,3.0
83,75,Bolt,2025-03-31,2025-04-05,Delivered,5.0
84,75,Bolt,2025-04-01,2025-04-06,Delivered,5.0
85,76,Arrow,2025-02-13,2025-02-15,Delivered,2.0
86,77,Arrow,2025-02-03,2025-02-06,Delivered,3.0
87,78,Bolt,2025-03-17,2025-03-21,Delivered,4.0
88,78,Arrow,2025-03-15,2025-03-16,Delivered,1.0
89,79,Cyclone,2025-03-05,2025-03-06,Delivered,1.0
90,80,Arrow,2025-01-16,2025-01-17,Delivered,1.0
91,81,Cyclone,2025-02-17,2025-02-21,Delivered,4.0
92,82,Cyclone,2025-01-15,2025-01-16,Delivered,1.0
93,83,Bolt,2025-03-14,2025-03-19,Delivered,5.0
94,84,Cyclone,2025-03-21,2025-03-22,Delivered,1.0
95,85,Cyclone,2025-03-28,2025-03-29,Delivered,1.0
96,86,Bolt,2025-03-04,2025-03-07,Delivered,3.0
97,87,Cyclone,2025-02-11,2025-02-12,Delivered,1.0
98,88,Bolt,2025-03-28,2025-04-01,Delivered,4.0
99,89,Bolt,2025-03-21,2025-03-26,Delivered,5.0
100,90,Arrow,2025-03-24,2025-03-25,Delivered,1.0
101,90,Arrow,2025-03-23,2025-03-25,Delivered,2.0
102,91,Cyclone,2025-02-23,2025-02-25,Delivered,2.0
103,92,Cyclone,2025-01-24,2025-01-25,Delivered,1.0
104,93,Arrow,2025-01-28,,Returned,
105,94,Arrow,2025-03-31,2025-04-02,Delivered,2.0
106,95,Arrow,2025-03-01,2025-03-02,Delivered,1.0
107,96,Arrow,2025-02-10,2025-02-13,Delivered,3.0
108,97,Bolt,2025-01-30,2025-02-03,Delivered,4.0
109,98,Arrow,2025-01-15,2025-01-18,Delivered,3.0
110,99,Cyclone,2025-02-14,2025-02-15,Delivered,1.0
111,100,Cyclone,2025-03-08,2025-03-10,Delivered,2.0
112,101,Arrow,2025-04-01,,Lost,
113,102,Bolt,2025-03-14,2025-03-18,Delivered,4.0
114,103,Arrow,2025-01-11,2025-01-14,Delivered,3.0
115,104,Bolt,2025-03-29,2025-04-02,Delivered,4.0
116,105,Bolt,2025-01-03,2025-01-04,Delivered,1.0
117,106,Arrow,2025-01-09,2025-01-12,Delivered,3.0
118,107,Cyclone,2025-03-30,2025-04-01,Delivered,2.0
119,108,Bolt,2025-03-06,2025-03-10,Delivered,4.0
120,108,Cyclone,2025-03-05,2025-03-07,Delivered,2.0
121,109,Arrow,2025-01-13,2025-01-17,Delivered,4.0
122,110,Arrow,2025-03-24,2025-03-28,Delivered,4.0
123,111,Arrow,2025-01-09,2025-01-11,Delivered,2.0
124,112,Bolt,2025-02-06,2025-02-08,Delivered,2.0
125,113,Arrow,2025-02-04,2025-02-07,Delivered,3.0
126,114,Cyclone,2025-02-04,2025-02-06,Delivered,2.0
127,115,Cyclone,2025-01-06,2025-01-08,Delivered,2.0
128,115,Cyclone,2025-01-05,,Returned,
129,116,Arrow,2025-02-12,2025-02-17,Delivered,5.0
130,117,Arrow,2025-01-29,2025-01-30,Delivered,1.0
131,118,Bolt,2025-01-09,2025-01-13,Delivered,4.0
132,119,Bolt,2025-03-15,2025-03-20,Delivered,5.0
133,120,Arrow,2025-03-13,,Returned,
134,121,Bolt,2025-01-12,2025-01-18,Delivered,6.0
135,122,Bolt,2025-02-03,2025-02-04,Delivered,1.0
136,123,Cyclone,2025-02-04,2025-02-05,Delivered,1.0
137,124,Cyclone,2025-02-18,2025-02-19,Delivered,1.0
138,125,Bolt,2025-01-24,2025-01-27,Delivered,3.0
139,126,Bolt,2025-03-04,2025-03-10,Delivered,6.0
140,127,Arrow,2025-03-29,2025-04-01,Delivered,3.0
141,128,Cyclone,2025-02-06,2025-02-07,Delivered,1.0
142,129,Bolt,2025-02-13,2025-02-14,Delivered,1.0
143,129,Arrow,2025-02-15,2025-02-18,Delivered,3.0
144,130,Bolt,2025-03-27,2025-04-01,Delivered,5.0
145,130,Cyclone,2025-03-27,2025-03-29,Delivered,2.0
146,131,Cyclone,2025-02-06,2025-02-07,Delivered,1.0
147,132,Cyclone,2025-03-08,,Returned,
148,133,Arrow,2025-02-17,2025-02-18,Delivered,1.0
149,133,Arrow,2025-02-16,2025-02-19,Delivered,3.0
150,134,Cyclone,2025-03-21,2025-03-23,Delivered,2.0
151,135,Bolt,2025-01-03,2025-01-07,Delivered,4.0
152,136,Cyclone,2025-01-01,2025-01-03,Delivered,2.0
153,136,Arrow,2025-01-01,2025-01-04,Delivered,3.0
154,137,Arrow,2025-01-05,2025-01-06,Delivered,1.0
155,138,Bolt,2025-04-02,2025-04-03,Delivered,1.0
156,139,Cyclone,2025-01-15,2025-01-18,Delivered,3.0
157,140,Bolt,2025-01-28,2025-02-01,Delivered,4.0
158,141,Cyclone,2025-01-11,2025-01-14,Delivered,3.0
159,142,Bolt,2025-03-21,2025-03-26,Delivered,5.0
160,143,Cyclone,2025-01-16,2025-01-17,Delivered,1.0
161,144,Bolt,2025-04-02,2025-04-06,Delivered,4.0
162,145,Arrow,2025-02-13,2025-02-16,Delivered,3.0
163,146,Cyclone,2025-03-20,,Returned,
164,146,Cyclone,2025-03-20,2025-03-22,Delivered,2.0
165,147,Arrow,2025-02-21,2025-02-25,Delivered,4.0
166,148,Cyclone,2025-03-06,2025-03-08,Delivered,2.0
167,149,Bolt,2025-02-23,2025-02-27,Delivered,4.0
168,150,Arrow,2025-01-06,2025-01-07,Delivered,1.0
169,151,Arrow,2025-01-24,2025-01-27,Delivered,3.0
170,152,Cyclone,2025-01-15,2025-01-16,Delivered,1.0
171,153,Cyclone,2025-02-13,2025-02-14,Delivered,1.0
172,154,Cyclone,2025-01-30,2025-01-31,Delivered,1.0
173,155,Cyclone,2025-02-07,2025-02-10,Delivered,3.0
174,156,Bolt,2025-01-13,2025-01-15,Delivered,2.0
175,157,Arrow,2025-02-01,2025-02-05,Delivered,4.0
176,158,Arrow,2025-03-12,2025-03-15,Delivered,3.0
177,159,Arrow,2025-02-28,2025-03-01,Delivered,1.0
178,160,Arrow,2025-03-29,2025-03-30,Delivered,1.0
179,161,Cyclone,2025-01-28,2025-01-31,Delivered,3.0
180,162,Bolt,2025-03-09,2025-03-14,Delivered,5.0
181,163,Cyclone,2025-02-11,2025-02-13,Delivered,2.0
182,164,Cyclone,2025-02-15,2025-02-18,Delivered,3.0
183,165,Arrow,2025-03-03,2025-03-05,Delivered,2.0
184,166,Bolt,2025-02-28,2025-03-03,Delivered,3.0
185,166,Bolt,2025-02-26,2025-03-02,Delivered,4.0
186,167,Bolt,2025-01-07,2025-01-10,Delivered,3.0
187,167,Arrow,2025-01-06,2025-01-07,Delivered,1.0
188,168,Bolt,2025-01-29,2025-01-31,Delivered,2.0
189,169,Bolt,2025-01-29,2025-02-02,Delivered,4.0
190,170,Bolt,2025-02-13,2025-02-16,Delivered,3.0
191,171,Arrow,2025-03-27,2025-03-31,Delivered,4.0
192,172,Cyclone,2025-02-01,2025-02-02,Delivered,1.0
193,172,Arrow,2025-01-31,2025-02-02,Delivered,2.0
194,173,Bolt,2025-03-04,,Returned,
195,174,Arrow,2025-03-16,2025-03-17,Delivered,1.0
196,175,Arrow,2025-04-01,2025-04-04,Delivered,3.0
197,176,Arrow,2025-03-05,2025-03-06,Delivered,1.0
198,177,Arrow,2025-01-03,2025-01-05,Delivered,2.0
199,178,Cyclone,2025-01-29,2025-01-31,Delivered,2.0
200,179,Cyclone,2025-03-03,2025-03-05,Delivered,2.0
201,179,Bolt,2025-03-03,2025-03-06,Delivered,3.0
202,180,Cyclone,2025-03-20,2025-03-23,Delivered,3.0
203,181,Arrow,2025-01-04,2025-01-05,Delivered,1.0
204,182,Arrow,2025-03-12,2025-03-13,Delivered,1.0
205,183,Arrow,2025-03-13,2025-03-16,Delivered,3.0
206,184,Bolt,2025-01-28,2025-02-01,Delivered,4.0
207,185,Bolt,2025-01-10,2025-01-12,Delivered,2.0
208,186,Cyclone,2025-03-03,2025-03-04,Delivered,1.0
209,187,Bolt,2025-02-08,2025-02-11,Delivered,3.0
210,188,Cyclone,2025-02-22,2025-02-24,Delivered,2.0
211,189,Arrow,2025-02-13,2025-02-14,Delivered,1.0
212,189,Bolt,2025-02-14,2025-02-17,Delivered,3.0
213,190,Bolt,2025-01-26,2025-01-31,Delivered,5.0
214,191,Arrow,2025-03-20,2025-03-24,Delivered,4.0
215,192,Cyclone,2025-03-02,2025-03-03,Delivered,1.0
216,193,Bolt,2025-02-02,2025-02-05,Delivered,3.0
217,194,Arrow,2025-03-29,2025-04-01,Delivered,3.0
218,195,Bolt,2025-02-22,2025-02-26,Delivered,4.0
219,196,Cyclone,2025-03-05,2025-03-06,Delivered,1.0
220,197,Cyclone,2025-03-01,2025-03-03,Delivered,2.0
221,198,Arrow,2025-02-23,2025-02-26,Delivered,3.0
222,199,Bolt,2025-01-13,2025-01-16,Delivered,3.0
223,199,Arrow,2025-01-13,2025-01-16,Delivered,3.0
224,200,Bolt,2025-02-10,2025-02-13,Delivered,3.0
225,201,Cyclone,2025-01-02,2025-01-04,Delivered,2.0
226,201,Bolt,2025-01-02,2025-01-05,Delivered,3.0
227,202,Bolt,2025-01-04,2025-01-07,Delivered,3.0
228,203,Cyclone,2025-02-26,2025-03-01,Delivered,3.0
229,204,Cyclone,2025-03-22,2025-03-23,Delivered,1.0
230,204,Arrow,2025-03-24,2025-03-27,Delivered,3.0
231,205,Cyclone,2025-03-01,2025-03-05,Delivered,4.0
232,206,Cyclone,2025-01-04,2025-01-05,Delivered,1.0
233,207,Cyclone,2025-01-04,2025-01-05,Delivered,1.0
234,208,Cyclone,2025-02-25,2025-02-26,Delivered,1.0
235,209,Arrow,2025-03-29,2025-04-01,Delivered,3.0
236,210,Arrow,2025-01-02,2025-01-06,Delivered,4.0
237,211,Bolt,2025-01-19,2025-01-22,Delivered,3.0
238,212,Cyclone,2025-01-02,2025-01-03,Delivered,1.0
239,213,Cyclone,2025-02-22,2025-02-24,Delivered,2.0
240,214,Cyclone,2025-02-15,2025-02-17,Delivered,2.0
241,215,Bolt,2025-04-02,2025-04-04,Delivered,2.0
242,216,Cyclone,2025-02-03,2025-02-04,Delivered,1.0
243,217,Arrow,2025-03-12,2025-03-14,Delivered,2.0
244,218,Cyclone,2025-02-03,2025-02-04,Delivered,1.0
245,219,Cyclone,2025-03-11,2025-03-12,Delivered,1.0
246,220,Arrow,2025-02-24,2025-02-26,Delivered,2.0
247,221,Bolt,2025-03-17,2025-03-20,Delivered,3.0
248,222,Arrow,2025-02-26,,Returned,
249,223,Arrow,2025-01-17,2025-01-18,Delivered,1.0
250,224,Cyclone,2025-02-09,2025-02-11,Delivered,2.0
251,225,Bolt,2025-01-24,2025-01-29,Delivered,5.0
252,226,Bolt,2025-03-12,2025-03-15,Delivered,3.0
253,227,Cyclone,2025-03-12,2025-03-13,Delivered,1.0
254,228,Cyclone,2025-03-27,2025-03-30,Delivered,3.0
255,229,Arrow,2025-01-13,2025-01-16,Delivered,3.0
256,230,Cyclone,2025-01-17,2025-01-18,Delivered,1.0
257,231,Bolt,2025-03-16,2025-03-20,Delivered,4.0
258,232,Arrow,2025-03-01,2025-03-04,Delivered,3.0
259,232,Cyclone,2025-02-28,2025-03-03,Delivered,3.0
260,233,Arrow,2025-03-13,2025-03-15,Delivered,2.0
261,234,Arrow,2025-03-21,2025-03-23,Delivered,2.0
262,234,Arrow,2025-03-22,2025-03-23,Delivered,1.0
263,235,Cyclone,2025-01-03,2025-01-06,Delivered,3.0
264,236,Arrow,2025-01-22,2025-01-24,Delivered,2.0
265,237,Cyclone,2025-03-02,2025-03-03,Delivered,1.0
266,238,Cyclone,2025-02-06,2025-02-07,Delivered,1.0
267,239,Bolt,2025-01-20,2025-01-24,Delivered,4.0
268,240,Arrow,2025-03-31,2025-04-02,Delivered,2.0
269,241,Arrow,2025-03-10,2025-03-13,Delivered,3.0
270,242,Arrow,2025-01-20,2025-01-24,Delivered,4.0
271,243,Arrow,2025-01-20,2025-01-22,Delivered,2.0
272,244,Cyclone,2025-03-12,2025-03-13,Delivered,1.0
273,245,Arrow,2025-02-22,2025-02-24,Delivered,2.0
274,246,Arrow,2025-02-03,2025-02-04,Delivered,1.0
275,247,Bolt,2025-02-09,,Lost,
276,248,Cyclone,2025-02-08,2025-02-12,Delivered,4.0
277,249,Bolt,2025-03-25,2025-03-29,Delivered,4.0
278,250,Cyclone,2025-01-02,2025-01-03,Delivered,1.0
279,251,Bolt,2025-01-12,2025-01-16,Delivered,4.0
280,252,Cyclone,2025-02-26,2025-02-28,Delivered,2.0
281,253,Arrow,2025-04-01,2025-04-02,Delivered,1.0
282,254,Bolt,2025-02-19,2025-02-24,Delivered,5.0
283,255,Arrow,2025-01-23,2025-01-25,Delivered,2.0
284,256,Bolt,2025-01-31,2025-02-04,Delivered,4.0
285,257,Cyclone,2025-02-11,2025-02-13,Delivered,2.0
286,258,Arrow,2025-01-07,2025-01-12,Delivered,5.0
287,259,Arrow,2025-01-16,2025-01-19,Delivered,3.0
288,260,Arrow,2025-04-01,2025-04-03,Delivered,2.0
289,261,Bolt,2025-03-02,2025-03-06,Delivered,4.0
290,262,Arrow,2025-01-02,2025-01-03,Delivered,1.0
291,263,Arrow,2025-01-02,2025-01-04,Delivered,2.0
292,263,Bolt,2025-01-03,2025-01-06,Delivered,3.0
293,264,Cyclone,2025-02-17,2025-02-18,Delivered,1.0
294,265,Bolt,2025-01-13,,Returned,
295,266,Cyclone,2025-03-11,2025-03-14,Delivered,3.0
296,267,Arrow,2025-02-06,2025-02-07,Delivered,1.0
297,268,Bolt,2025-02-02,2025-02-06,Delivered,4.0
298,269,Cyclone,2025-01-10,,Returned,
299,270,Arrow,2025-01-20,,Returned,
300,271,Cyclone,2025-02-17,2025-02-19,Delivered,2.0
301,272,Arrow,2025-03-22,2025-03-23,Delivered,1.0
302,273,Bolt,2025-01-03,2025-01-04,Delivered,1.0
303,274,Bolt,2025-01-20,2025-01-24,Delivered,4.0
304,275,Cyclone,2025-01-25,2025-01-27,Delivered,2.0
305,276,Cyclone,2025-02-25,2025-02-26,Delivered,1.0
306,277,Bolt,2025-02-03,2025-02-09,Delivered,6.0
307,278,Bolt,2025-01-25,,Returned,
308,279,Bolt,2025-03-16,2025-03-20,Delivered,4.0
309,280,Cyclone,2025-03-13,2025-03-14,Delivered,1.0
310,281,Cyclone,2025-02-06,2025-02-08,Delivered,2.0
311,282,Bolt,2025-02-08,2025-02-11,Delivered,3.0
312,283,Cyclone,2025-03-25,2025-03-26,Delivered,1.0
313,284,Bolt,2025-04-01,2025-04-04,Delivered,3.0
314,285,Cyclone,2025-01-26,2025-01-28,Delivered,2.0
315,286,Cyclone,2025-01-18,2025-01-19,Delivered,1.0
316,286,Bolt,2025-01-18,2025-01-21,Delivered,3.0
317,287,Bolt,2025-03-23,2025-03-26,Delivered,3.0
318,287,Arrow,2025-03-25,2025-03-27,Delivered,2.0
319,288,Bolt,2025-03-08,2025-03-13,Delivered,5.0
320,288,Bolt,2025-03-08,2025-03-12,Delivered,4.0
321,289,Bolt,2025-02-24,2025-03-01,Delivered,5.0
322,290,Bolt,2025-02-05,2025-02-09,Delivered,4.0
323,291,Bolt,2025-03-23,2025-03-24,Delivered,1.0
324,292,Arrow,2025-03-04,2025-03-06,Delivered,2.0
325,293,Cyclone,2025-02-11,2025-02-13,Delivered,2.0
326,294,Bolt,2025-02-02,2025-02-04,Delivered,2.0
327,295,Arrow,2025-03-10,2025-03-12,Delivered,2.0
328,296,Cyclone,2025-02-04,2025-02-05,Delivered,1.0
329,297,Arrow,2025-01-14,2025-01-17,Delivered,3.0
330,297,Arrow,2025-01-15,2025-01-18,Delivered,3.0
331,298,Arrow,2025-01-23,2025-01-24,Delivered,1.0
332,299,Arrow,2025-02-17,2025-02-19,Delivered,2.0
333,300,Cyclone,2025-01-22,2025-01-23,Delivered,1.0
334,300,Arrow,2025-01-22,2025-01-25,Delivered,3.0
335,301,Arrow,2025-01-08,2025-01-13,Delivered,5.0
336,302,Bolt,2025-01-07,2025-01-13,Delivered,6.0
337,303,Arrow,2025-03-08,2025-03-11,Delivered,3.0
338,304,Cyclone,2025-01-17,2025-01-19,Delivered,2.0
339,305,Arrow,2025-02-02,2025-02-03,Delivered,1.0
340,306,Arrow,2025-02-19,2025-02-22,Delivered,3.0
341,307,Bolt,2025-03-18,2025-03-19,Delivered,1.0
342,308,Bolt,2025-02-28,2025-03-04,Delivered,4.0
343,309,Cyclone,2025-03-27,2025-03-30,Delivered,3.0
344,310,Cyclone,2025-01-22,2025-01-23,Delivered,1.0
345,311,Cyclone,2025-01-31,2025-02-01,Delivered,1.0
346,312,Cyclone,2025-02-07,2025-02-08,Delivered,1.0
347,313,Cyclone,2025-02-20,,Returned,
348,314,Arrow,2025-02-23,2025-02-26,Delivered,3.0
349,315,Cyclone,2025-01-08,2025-01-09,Delivered,1.0
350,316,Bolt,2025-01-28,,Returned,
351,317,Cyclone,2025-01-29,2025-01-31,Delivered,2.0
352,318,Cyclone,2025-01-21,2025-01-22,Delivered,1.0
353,319,Arrow,2025-01-31,2025-02-04,Delivered,4.0
354,320,Bolt,2025-01-30,2025-02-02,Delivered,3.0
355,321,Bolt,2025-03-06,2025-03-09,Delivered,3.0
356,321,Cyclone,2025-03-07,2025-03-08,Delivered,1.0
357,322,Bolt,2025-03-11,2025-03-14,Delivered,3.0
358,323,Bolt,2025-03-04,2025-03-09,Delivered,5.0
359,324,Cyclone,2025-02-18,2025-02-19,Delivered,1.0
360,325,Bolt,2025-01-21,2025-01-24,Delivered,3.0
361,326,Cyclone,2025-01-06,,Returned,
362,327,Bolt,2025-02-05,2025-02-10,Delivered,5.0
363,328,Cyclone,2025-03-06,2025-03-07,Delivered,1.0
364,329,Bolt,2025-02-19,2025-02-24,Delivered,5.0
365,330,Arrow,2025-01-17,2025-01-21,Delivered,4.0
366,331,Bolt,2025-02-15,2025-02-17,Delivered,2.0
367,332,Bolt,2025-01-30,2025-02-03,Delivered,4.0
368,333,Cyclone,2025-02-16,2025-02-17,Delivered,1.0
369,334,Arrow,2025-01-06,2025-01-10,Delivered,4.0
370,335,Bolt,2025-02-08,2025-02-13,Delivered,5.0
371,336,Arrow,2025-01-26,2025-01-29,Delivered,3.0
372,337,Bolt,2025-02-15,2025-02-17,Delivered,2.0
373,338,Cyclone,2025-02-23,2025-02-25,Delivered,2.0
374,339,Bolt,2025-03-01,2025-03-06,Delivered,5.0
375,340,Cyclone,2025-03-05,2025-03-07,Delivered,2.0
376,341,Arrow,2025-03-27,,Returned,
377,342,Bolt,2025-02-01,2025-02-04,Delivered,3.0
378,343,Arrow,2025-03-29,2025-03-31,Delivered,2.0
379,344,Cyclone,2025-02-04,2025-02-05,Delivered,1.0
380,345,Bolt,2025-03-08,2025-03-12,Delivered,4.0
381,346,Arrow,2025-01-20,2025-01-22,Delivered,2.0
382,347,Bolt,2025-01-26,2025-01-29,Delivered,3.0
383,348,Bolt,2025-02-24,2025-02-27,Delivered,3.0
384,349,Bolt,2025-02-28,2025-03-04,Delivered,4.0
385,350,Cyclone,2025-03-10,2025-03-14,Delivered,4.0
386,351,Cyclone,2025-02-16,2025-02-17,Delivered,1.0
387,352,Bolt,2025-01-26,2025-01-29,Delivered,3.0
388,353,Bolt,2025-02-01,,Returned,
389,354,Arrow,2025-02-17,2025-02-18,Delivered,1.0
390,355,Arrow,2025-03-27,2025-03-30,Delivered,3.0
391,355,Bolt,2025-03-28,2025-04-01,Delivered,4.0
392,356,Cyclone,2025-01-25,2025-01-26,Delivered,1.0
393,356,Cyclone,2025-01-24,2025-01-25,Delivered,1.0
394,357,Arrow,2025-03-08,2025-03-10,Delivered,2.0
395,358,Bolt,2025-01-27,2025-01-31,Delivered,4.0
396,359,Cyclone,2025-01-03,2025-01-04,Delivered,1.0
397,360,Arrow,2025-04-02,2025-04-03,Delivered,1.0
398,361,Bolt,2025-01-19,2025-01-24,Delivered,5.0
399,362,Arrow,2025-02-03,2025-02-05,Delivered,2.0
400,363,Cyclone,2025-01-09,,Returned,
401,364,Bolt,2025-02-12,2025-02-15,Delivered,3.0
402,365,Arrow,2025-02-19,2025-02-22,Delivered,3.0
403,365,Cyclone,2025-02-19,2025-02-20,Delivered,1.0
404,366,Arrow,2025-02-09,2025-02-11,Delivered,2.0
405,367,Bolt,2025-02-12,2025-02-14,Delivered,2.0
406,368,Arrow,2025-01-27,2025-01-30,Delivered,3.0
407,368,Cyclone,2025-01-28,2025-01-29,Delivered,1.0
408,369,Bolt,2025-02-20,2025-02-21,Delivered,1.0
409,370,Arrow,2025-01-27,,Returned,
410,371,Bolt,2025-01-25,2025-01-29,Delivered,4.0
411,372,Bolt,2025-01-13,2025-01-18,Delivered,5.0
412,373,Arrow,2025-03-01,2025-03-03,Delivered,2.0
413,373,Bolt,2025-03-03,2025-03-08,Delivered,5.0
414,374,Cyclone,2025-01-08,2025-01-09,Delivered,1.0
415,375,Arrow,2025-02-26,2025-02-28,Delivered,2.0
416,376,Cyclone,2025-02-07,2025-02-09,Delivered,2.0
417,377,Arrow,2025-02-14,2025-02-15,Delivered,1.0
418,378,Arrow,2025-01-21,2025-01-22,Delivered,1.0
419,379,Bolt,2025-03-08,2025-03-12,Delivered,4.0
420,380,Cyclone,2025-01-09,2025-01-10,Delivered,1.0
421,381,Cyclone,2025-01-16,2025-01-17,Delivered,1.0
422,382,Bolt,2025-01-15,2025-01-20,Delivered,5.0
423,383,Cyclone,2025-03-18,2025-03-21,Delivered,3.0
424,384,Bolt,2025-03-30,2025-04-03,Delivered,4.0
425,385,Arrow,2025-01-16,2025-01-19,Delivered,3.0
426,386,Cyclone,2025-03-09,2025-03-12,Delivered,3.0
427,387,Arrow,2025-02-02,2025-02-05,Delivered,3.0
428,387,Cyclone,2025-02-02,2025-02-04,Delivered,2.0
429,388,Cyclone,2025-03-29,2025-03-31,Delivered,2.0
430,389,Arrow,2025-03-04,2025-03-07,Delivered,3.0
431,389,Arrow,2025-03-06,2025-03-09,Delivered,3.0
432,390,Arrow,2025-03-29,2025-04-02,Delivered,4.0
433,391,Bolt,2025-02-20,2025-02-24,Delivered,4.0
434,391,Cyclone,2025-02-21,2025-02-23,Delivered,2.0
435,392,Bolt,2025-01-25,,Lost,
436,393,Bolt,2025-03-01,2025-03-06,Delivered,5.0
437,393,Cyclone,2025-02-27,2025-03-02,Delivered,3.0
438,394,Bolt,2025-03-06,2025-03-11,Delivered,5.0
